ID,IDCanton,Nombre
255,14,"Platanares                                        "
256,14,"Los Sitios                                        "
257,14,"H.A. Casa Nazareth                                "
258,14,"La Isla                                           "
259,15,"San Pedro                                         "
260,15,"Lourdes                                           "
261,15,"Sabanilla                                         "
262,15,"Betania                                           "
263,15,"San Rafael                                        "
264,15,"Cedros                                            "
265,16,"San Pablo                                         "
266,16,"San Pedro                                         "
267,16,"San Juan De Mata                                  "
268,16,"Montelimar (Los Sitios)                           "
269,16,"Las Delicias                                      "
270,16,"San Gabriel                                       "
271,16,"San Luis                                          "
272,16,"Bijagual                                          "
273,16,"San Rafael                                        "
274,16,"San Antonio De Tulin                              "
275,16,"San Francisco                                     "
276,16,"El Sur                                            "
277,16,"Potenciana Arriba                                 "
278,16,"El Barro                                          "
279,17,"Santa Maria                                       "
280,17,"Jardin                                            "
281,17,"Copey                                             "
282,17,"Providencia                                       "
283,17,"La Cima                                           "
284,17,"Trinidad                                          "
285,17,"Sukia O El Brujo                                  "
286,17,"San Gerardo                                       "
287,18,"Curridabat                                        "
288,18,"Granadilla Sur                                    "
289,18,"Sanchez                                           "
290,18,"Tirrases                                          "
291,18,"La Lia O Inmaculada                               "
292,18,"Cipreses                                          "
293,18,"Granadilla Norte                                  "
294,18,"Jose Maria Zeledon                                "
295,18,"Ciudadela Quince De Agosto                        "
296,19,"San Isidro De El General                          "
297,19,"La Palma                                          "
298,19,"Santa Rosa                                        "
299,19,"La Esperanza                                      "
300,19,"General Viejo                                     "
301,19,"Palmares                                          "
302,19,"Rivas                                             "
303,19,"San Pedro                                         "
304,19,"Candelaria O Angostura                            "
305,19,"Pedregoso                                         "
306,19,"San Ramon Sur                                     "
307,19,"Pacuarito                                         "
308,19,"Quebradas                                         "
309,19,"San Cristobal O Tinamaste                         "
310,19,"San Juan De Dios O Guabo                          "
311,19,"La Hermosa                                        "
312,19,"Bolivia                                           "
313,19,"San Juan Bosco (Patio De Agua)                    "
314,19,"La Repunta                                        "
315,19,"Buena Vista                                       "
316,19,"Pueblo Nuevo                                      "
317,19,"Canaan                                            "
318,19,"San Rafael Norte De San Isidro                    "
319,19,"Los Reyes                                         "
320,19,"San Rafael De Platanares                          "
321,19,"Carmen O Cajon                                    "
322,19,"Platanillo                                        "
323,19,"Quizarra (Parte Este)                             "
324,19,"San Gabriel                                       "
325,19,"Santa Teresa                                      "
326,19,"Pejibaye                                          "
327,19,"Santo Tomas                                       "
328,19,"Peñas Blancas                                     "
329,19,"Aguila Abajo                                      "
330,19,"San Pablo                                         "
331,19,"Zapote                                            "
332,19,"Division (Parte Oeste)                            "
333,19,"Desamparados                                      "
334,19,"San Miguel                                        "
335,19,"Mesas                                             "
336,19,"Savegre Abajo                                     "
337,19,"Santa Elena                                       "
338,19,"San Rafael De San Pedro                           "
339,19,"Brujo                                             "
340,19,"El Llano                                          "
341,19,"Villa Bonita                                      "
342,19,"Santa Lucia (Santa Luisa)                         "
343,19,"San Salvador                                      "
344,19,"San Blas (Linda Arriba)                           "
345,19,"Aguas Buenas                                      "
346,19,"San Agustin                                       "
347,19,"Herradura                                         "
348,19,"Tambor                                            "
349,19,"San Jeronimo                                      "
350,19,"Fatima                                            "
351,19,"Concepcion (Parte Este)                           "
352,19,"Sierra                                            "
353,19,"San Carlos                                        "
354,19,"Mercedes                                          "
355,19,"San Francisco                                     "
356,19,"La Linda                                          "
357,19,"La Union De San Pedro                             "
358,19,"Vista De Mar Norte                                "
359,19,"Calle Moras                                       "
360,19,"Los Angeles De Paramo                             "
361,19,"San Cayetano (Rio Nuevo)                          "
362,19,"San Juan De Miramar (Alto Sn Juan)                "
363,19,"Ceibo Arriba                                      "
364,19,"China Kicha                                       "
365,19,"San Antonio                                       "
366,19,"Siberia (Parte Oeste)                             "
367,19,"La Ese                                            "
368,19,"Las Juntas De Pacuar                              "
369,19,"Villa Ligia                                       "
370,19,"Los Chiles                                        "
371,19,"Chimirol                                          "
372,19,"San Martin (Las Mulas)                            "
373,19,"Guadalupe                                         "
374,19,"Rio Grande                                        "
375,19,"La Piedra De Rivas                                "
376,19,"Pavones                                           "
377,19,"El Hoyon                                          "
378,19,"Sinai                                             "
379,19,"Valencia                                          "
380,19,"Miravalles                                        "
381,19,"Trinidad                                          "
382,19,"Veracruz                                          "
383,19,"Mollejones                                        "
384,19,"Socorro                                           "
385,19,"Los Angeles De Ligia                              "
386,19,"Villanueva De Pedregoso                           "
387,19,"Santa Eduvigis                                    "
388,19,"Sagrada Familia                                   "
389,19,"Rosario O Arronis                                 "
390,19,"Miraflores                                        "
391,19,"Palmital                                          "
392,19,"Santiago                                          "
393,19,"La Esperanza De San Pedro                         "
394,19,"Villa Argentina                                   "
395,19,"San Ramon Norte                                   "
396,19,"Jardin (Parte Este)                               "
397,19,"Berlin                                            "
398,19,"Bajo Esperanza                                    "
399,19,"Pilar                                             "
400,19,"C.P. Palmares                                     "
401,19,"Cristo Rey                                        "
402,19,"California De Rio Nuevo                           "
403,19,"H.A. Mons.Delfin Quesada Castro                   "
404,19,"Piedra Alta                                       "
405,19,"Bonita                                            "
406,19,"Ceniza                                            "
407,19,"Cocori                                            "
408,19,"Cooperativa                                       "
409,19,"Invu Pedro Perez                                  "
410,19,"Morazan                                           "
411,19,"San Andres                                        "
412,19,"Tierra Prometida                                  "
413,19,"Baidambu                                          "
414,19,"La Aurora                                         "
415,19,"Tirra                                             "
416,19,"Rio Quebradas Arriba                              "
417,20,"San Pablo                                         "
418,20,"San Andres                                        "
419,20,"Llano Bonito (San Rafael Arriba)                  "
420,20,"San Isidro                                        "
421,20,"Santa Cruz                                        "
422,20,"Angostura Abajo                                   "
423,20,"San Rafael Abajo (Beneficio Cafe)                 "
424,20,"Santa Rosa Arriba Este                            "
425,20,"Cedral (Parte Norte)                              "
426,20,"San Francisco                                     "
427,20,"Trinidad                                          "
428,20,"San Martin                                        "
429,20,"La Lucha (Sur Del Rio)                            "
430,20,"San Antonio                                       "
431,20,"Higueron                                          "
432,20,"La Cuesta O Bajo De Tarrazu                       "
433,20,"Carrizales                                        "
434,20,"Santa Juana                                       "
435,21,"Alajuela                                          "
436,21,"Concepcion O El Llano                             "
437,21,"Canoas                                            "
438,21,"San Jose                                          "
439,21,"El Coyol                                          "
440,21,"Tuetal Sur                                        "
441,21,"Carrizal                                          "
442,21,"Ujarras                                           "
443,21,"San Antonio Del Tejar                             "
444,21,"El Roble                                          "
445,21,"Guacima (Santiago Oeste)                          "
446,21,"El Coco                                           "
447,21,"Las Vueltas                                       "
448,21,"San Isidro                                        "
449,21,"Itiquis                                           "
450,21,"Dulce Nombre De Laguna                            "
451,21,"Sabanilla                                         "
452,21,"San Luis                                          "
453,21,"Los Angeles                                       "
454,21,"Fraijanes                                         "
455,21,"San Rafael Este                                   "
456,21,"San Rafael Oeste                                  "
457,21,"Rio Segundo (Santiago Este)                       "
458,21,"Desamparados                                      "
459,21,"Turrucares                                        "
460,21,"Cinco Esquinas                                    "
461,21,"Cebadilla                                         "
462,21,"San Miguel O Cerrillos                            "
463,21,"Tambor (Santa Ana)                                "
464,21,"Cacao                                             "
465,21,"Tuetal Norte (Parte)                              "
466,21,"La Garita                                         "
467,21,"Poasito                                           "
468,21,"San Miguel De Sarapiqui                           "
469,21,"Pavas (Guarari)                                   "
470,21,"San Martin                                        "
471,21,"Siquiares                                         "
472,21,"Corazon De Jesus                                  "
473,21,"El Cerro                                          "
474,21,"Villa Bonita (Parte Sur)                          "
475,21,"Ciruelas                                          "
476,21,"Cacique                                           "
477,21,"Dulce Nombre O Las Animas                         "
478,21,"Pueblo Nuevo                                      "
479,21,"Montecillos (Parte Norte)                         "
480,21,"Nuestro Amo                                       "
481,21,"Invu Los Rodriguez                                "
482,21,"Tacacori                                          "
483,21,"Pacto Del Jocote                                  "
484,21,"Cerrillal                                         "
485,21,"Villa Helia (Finca Helia)                         "
486,21,"Quebradas                                         "
487,21,"Rosales                                           "
488,21,"California                                        "
489,21,"Las Pilas                                         "
490,21,"C.P. Talleres Industriales                        "
491,21,"C.P. San Rafael                                   "
492,21,"C.P. Ambito B (Minima)                            "
493,21,"C.P. Ambito C (Mediana Abierta)                   "
494,21,"C.P.Ambitos D(Med Cerrad)E(Maxima)                "
495,21,"C.P. Gerardo Rodriguez Echeverria                 "
496,21,"C.P. Adulto Mayor                                 "
497,21,"H.A. Santiago Crespo Calvo                        "
498,21,"Corazon De Jesus                                  "
499,21,"El Arroyo                                         "
500,21,"El Carmen                                         "
501,21,"Rincon Chiquito                                   "
502,21,"C.P. Adulto Joven                                 "
503,21,"El Paraiso                                        "
504,22,"San Ramon                                         "
505,22,"Santiago                                          "
506,22,"San Jose (Rio Jesus)                              "
507,22,"San Juan                                          "
508,22,"Piedades Norte                                    "
509,22,"Piedades Noroeste                                 "
510,22,"Piedades Sur                                      "
511,22,"Salvador                                          "
512,22,"San Francisco                                     "
513,22,"San Miguel                                        "
514,22,"Bureal                                            "
515,22,"San Rafael                                        "
516,22,"Berlin                                            "
517,22,"Calle Zamora                                      "
518,22,"Llano De Brenes                                   "
519,22,"San Isidro                                        "
520,22,"Los Angeles Sur                                   "
521,22,"Bajo Cordoba                                      "
522,22,"Alfaro                                            "
523,22,"Volio                                             "
524,22,"Alto De Villegas                                  "
525,22,"Concepcion                                        "
526,22,"San Antonio De Zapotal                            "
527,22,"San Isidro De Peñas Blancas                       "
528,22,"Carrera Buena                                     "
529,22,"Bolivar (Esperanza)                               "
530,22,"La Esperanza                                      "
531,22,"Chachagua                                         "
532,22,"Bajo De Los Rodriguez                             "
533,22,"Colonia Trinidad                                  "
534,22,"Los Criques                                       "
535,22,"La Paz                                            "
536,22,"Guaria (Rio Grande)                               "
537,22,"Sector Los Angeles                                "
538,22,"Catarata                                          "
539,22,"Valle Azul                                        "
540,22,"Bajo Zuñiga                                       "
541,22,"Socorro                                           "
542,22,"La Guaria                                         "
543,22,"Angostura                                         "
544,22,"El Castillo                                       "
545,22,"C.P. San Ramon                                    "
546,22,"Zapotal (Parte Este)                              "
547,22,"H.A. San Ramon                                    "
548,22,"Ciudadela Jardines                                "
549,22,"Calle Leon                                        "
550,22,"Empalme                                           "
551,22,"San Martin (El Bosque)                            "
552,23,"Grecia                                            "
553,23,"Meson O Dulce Nombre                              "
554,23,"San Francisco                                     "
555,23,"San Jose Y Santa Gertrudis Norte                  "
556,23,"Santa Gertrudis Sur                               "
557,23,"Colonia Agricola Del Toro                         "
558,23,"San Roque                                         "
559,23,"Tacares                                           "
560,23,"Rincon De Arias                                   "
561,23,"Rio Cuarto                                        "
562,23,"Sn Rafael De Rio Cuarto(Cucaracho)                "
563,23,"La Arena                                          "
564,23,"Calle Rodriguez                                   "
565,23,"Cataluña                                          "
566,23,"Puente De Piedra                                  "
567,23,"Rincon De Salas                                   "
568,23,"Los Angeles De Bolivar                            "
569,23,"San Juan                                          "
570,23,"La Tabla                                          "
571,23,"San Luis                                          "
572,23,"San Miguel                                        "
573,23,"Los Angeles                                       "
574,23,"Los Lotes (San Vicente)                           "
575,23,"Bodegas                                           "
576,23,"Altos De Peralta                                  "
577,23,"Barrio Latino (Agualote)                          "
578,23,"Cajon (Barrio San Jose)                           "
579,23,"Santa Rita                                        "
580,23,"Santa Isabel                                      "
581,23,"Carbonal (Cristo Rey)                             "
582,23,"Calle San Jose                                    "
583,23,"San Miguel Arriba                                 "
584,23,"Calle Achiote                                     "
585,23,"San Isidro                                        "
586,23,"Cedro                                             "
587,23,"Poro                                              "
588,23,"Leon Cortes Castro                                "
589,23,"La Victoria                                       "
590,23,"San Vicente                                       "
591,23,"La Españolita                                     "
592,23,"Bajo Rosales                                      "
593,23,"Cajon Arriba                                      "
594,23,"H.A. Jafeth Jimenez Morales                       "
595,23,"Pata De Gallo                                     "
596,23,"La Argentina                                      "
597,24,"San Mateo                                         "
598,24,"Higuito                                           "
599,24,"Maderal                                           "
600,24,"Dulce Nombre                                      "
601,24,"Desmonte                                          "
602,24,"Jesus Maria                                       "
603,24,"Labrador                                          "
604,25,"Atenas                                            "
605,25,"Los Angeles                                       "
606,25,"Jesus                                             "
607,25,"Sabana Larga                                      "
608,25,"Estanquillo (San Antonio)                         "
609,25,"Escobal                                           "
610,25,"Mercedes                                          "
611,25,"Guacimo                                           "
612,25,"San Isidro                                        "
613,25,"Rincon De San Isidro                              "
614,25,"Concepcion                                        "
615,25,"Balsa                                             "
616,25,"San Jose Sur                                      "
617,25,"Santa Eulalia                                     "
618,25,"Morazan                                           "
619,25,"H.A. Hortensia Rodriguez S.De B                   "
620,26,"Naranjo                                           "
621,26,"Candelaria (Bajo Corrales)                        "
622,26,"San Antonio De La Cueva                           "
623,26,"San Juan (Acequia Grande)                         "
624,26,"San Miguel                                        "
625,26,"Palmitos                                          "
626,26,"Concepcion Este                                   "
627,26,"Rosario (El Hoyo)                                 "
628,26,"San Jose (San Juanillo)                           "
629,26,"Barranca                                          "
630,26,"San Antonio De Barranca                           "
631,26,"Cirri Sur                                         "
632,26,"Llano Bonito O Cirri Norte                        "
633,26,"San Roque                                         "
634,26,"Cañuela Arriba                                    "
635,26,"San Jeronimo                                      "
636,26,"Los Robles                                        "
637,26,"San Francisco (Vaca Muerta)                       "
638,26,"Comun O San Rafael                                "
639,26,"Lourdes                                           "
640,26,"Dulce Nombre (Villano)                            "
641,26,"H.A. Jose Del Olmo                                "
642,26,"Santa Margarita                                   "
643,27,"Palmares                                          "
644,27,"Zaragoza                                          "
645,27,"Rincon De Zaragoza                                "
646,27,"Buenos Aires                                      "
647,27,"La Granja                                         "
648,27,"Santiago                                          "
649,27,"Candelaria                                        "
650,27,"Esquipulas                                        "
651,27,"H.A. Palmares                                     "
652,27,"Cocaleca (Parte Oeste)                            "
653,28,"San Pedro                                         "
654,28,"San Juan Sur                                      "
655,28,"San Rafael                                        "
656,28,"Carrillos                                         "
657,28,"Sabana Redonda                                    "
658,28,"Santa Rosa                                        "
659,28,"Chilamate                                         "
660,28,"San Juan Norte                                    "
661,28,"La Hilda                                          "
662,28,"Carrillos Alto                                    "
663,28,"Guatuza                                           "
664,29,"Orotina                                           "
665,29,"Mastate                                           "
666,29,"Hacienda Vieja                                    "
667,29,"Coyolar                                           "
668,29,"Cascajal                                          "
669,29,"Nueva Santa Rita                                  "
670,29,"Cuatro Esquinas Norte                             "
671,29,"La Ceiba                                          "
672,29,"San Jeronimo                                      "
673,29,"Parcelas Trinidad (Uvita)                         "
674,29,"H.A. Presbitero Jesus Maria Vargas                "
675,30,"Quesada                                           "
676,30,"Dulce Nombre                                      "
677,30,"Sucre                                             "
678,30,"Florencia                                         "
679,30,"Quebrada Azul                                     "
680,30,"Muelle De San Carlos                              "
681,30,"Santa Clara                                       "
682,30,"La Vega O Cuatro Esquinas                         "
683,30,"Buenavista                                        "
684,30,"Aguas Zarcas                                      "
685,30,"Los Chiles                                        "
686,30,"La Tigra                                          "
687,30,"La Palmera                                        "
688,30,"Pital                                             "
689,30,"La Union Este                                     "
690,30,"Venecia                                           "
691,30,"San Vicente                                       "
692,30,"San Jose De Porvenir                              "
693,30,"Boca De Arenal                                    "
694,30,"La Fortuna                                        "
695,30,"El Tanque                                         "
696,30,"Guaria De Fortuna                                 "
697,30,"Platanar                                          "
698,30,"San Juan De Quebrada De Palo                      "
699,30,"Veracruz                                          "
700,30,"Santo Domingo                                     "
701,30,"San Francisco O Vaca Blanca                       "
702,30,"Los Llanos O Altamirita                           "
703,30,"La Vieja                                          "
704,30,"San Rafael De Platanar                            "
705,30,"San Pedro Y Tabla Grande                          "
706,30,"Agua Azul                                         "
707,30,"Los Angeles                                       "
708,30,"Venado                                            "
709,30,"Jicarito                                          "
710,30,"Buenos Aires                                      "
711,30,"Montelimar                                        "
712,30,"San Josecito De Cutris                            "
713,30,"San Gerardo De Pocosol                            "
714,30,"San Joaquin                                       "
715,30,"Corazon De Jesus                                  "
716,30,"La Union                                          "
717,30,"Sahino O San Jorge                                "
718,30,"La Legua                                          "
719,30,"San Gerardo                                       "
720,30,"La Marina                                         "
721,30,"Cedral                                            "
722,30,"Chambacu De Monterrey                             "
723,30,"San Ramon (Cariblanca)                            "
724,30,"San Jose De La Tigra                              "
725,30,"San Pedro De La Tigra                             "
726,30,"San Miguel O Limbo                                "
727,30,"El Concho                                         "
728,30,"San Roque                                         "
729,30,"Santa Rosa De Pocosol                             "
730,30,"Bella Vista                                       "
731,30,"Las Brisas                                        "
732,30,"Santa Rita                                        "
733,30,"Boca Tapada                                       "
734,30,"Coopevega                                         "
735,30,"Pitalito                                          "
736,30,"Los Angeles De Pital                              "
737,30,"Esterito                                          "
738,30,"Santa Maria                                       "
739,30,"San Diego                                         "
740,30,"Moravia                                           "
741,30,"Carrizal                                          "
742,30,"San Juan De La Ceiba                              "
743,30,"El Plomo                                          "
744,30,"San Marcos Norte                                  "
745,30,"Marsella                                          "
746,30,"Acapulco                                          "
747,30,"San Francisco O La Aquilea                        "
748,30,"Linda Vista                                       "
749,30,"La Gloria O San Marcos                            "
750,30,"Guaria De Pocosol                                 "
751,30,"Sonafluca                                         "
752,30,"Santa Fe O La Fama                                "
753,30,"San Jorge De Cutris                               "
754,30,"Delicias                                          "
755,30,"San Bosco                                         "
756,30,"Almendros                                         "
757,30,"Buenos Aires De Venecia                           "
758,30,"San Martin                                        "
759,30,"Cerro Cortes                                      "
760,30,"Palmar                                            "
761,30,"San Cristobal                                     "
762,30,"C.P. Palmera (La Marina)                          "
763,30,"H.A. San Vicente De Paul                          "
764,30,"Abundancia                                        "
765,30,"San Jose De La Montaña                            "
766,30,"San Pablo                                         "
767,30,"Concepcion                                        "
768,31,"Zarcero                                           "
769,31,"Laguna                                            "
770,31,"Tapezco                                           "
771,31,"Santa Rosa                                        "
772,31,"Guadalupe                                         "
773,31,"San Luis O Morelos                                "
774,31,"Palmira                                           "
775,31,"Zapote                                            "
776,31,"Pueblo Nuevo De La Picada                         "
777,31,"San Juan De Lajas                                 "
778,31,"Legua                                             "
779,31,"H.A. San Rafael                                   "
780,31,"Anateri                                           "
781,32,"Sarchi Norte                                      "
782,32,"Sarchi Sur                                        "
783,32,"San Pedro                                         "
784,32,"Bajos Del Toro                                    "
785,32,"San Juan                                          "
786,32,"Los Angeles                                       "
787,32,"San Jose De Trojas                                "
788,32,"La Luisa                                          "
789,32,"Sabanilla                                         "
790,33,"Upala                                             "
791,33,"San Isidro De Zapote                              "
792,33,"Colonia Puntarenas                                "
793,33,"Canalete                                          "
794,33,"San Isidro De Aguas Claras                        "
795,33,"Colonia Libertad                                  "
796,33,"Cuatro Bocas                                      "
797,33,"San Jose O Pizote                                 "
798,33,"Bijagua                                           "
799,33,"Santo Domingo                                     "
800,33,"Delicias                                          "
801,33,"Santa Clara (Parte Este)                          "
802,33,"Dos Rios O Colonia Mayorga                        "
803,33,"Brasilia                                          "
804,33,"Pata De Gallo (Parte Norte)                       "
805,33,"Guayabal O El Carmen                              "
806,33,"San Luis                                          "
807,33,"San Jorge O Rio Negro                             "
808,33,"San Ramon                                         "
809,33,"Aguas Claras                                      "
810,33,"Buenos Aires                                      "
811,33,"Birmania                                          "
812,33,"Miramar                                           "
